Fecha,Tipo
19/11/2025,Día Libre
20/11/2025,Día Libre
21/11/2025,Día Libre
22/11/2025,Día Libre
23/11/2025,Día Libre
24/11/2025,Día Libre
25/11/2025,Día Libre
26/11/2025,Día Libre
27/11/2025,Día Libre
28/11/2025,Día Libre
29/11/2025,Día Libre
30/11/2025,Día Libre
01/12/2025,Día Libre
02/12/2025,Día Libre
03/12/2025,Día Libre
04/12/2025,Día Libre
05/12/2025,Día Libre
06/12/2025,Día Libre
07/12/2025,Día Libre
08/12/2025,Día Libre
09/12/2025,Día Libre
10/12/2025,Día Libre
11/12/2025,Día Libre
12/12/2025,Día Libre
13/12/2025,Día Libre
14/12/2025,Día Libre
15/12/2025,Día Libre
16/12/2025,Día Libre
17/12/2025,Día Libre
18/12/2025,Día Libre
19/12/2025,Día Libre
20/12/2025,Día Libre
21/12/2025,Día Libre
22/12/2025,Día Libre
23/12/2025,Día Libre
24/12/2025,Día Libre
25/12/2025,Día Libre
26/12/2025,Día Libre
27/12/2025,Día Libre
28/12/2025,Día Libre
29/12/2025,Día Libre
30/12/2025,Día Libre
31/12/2025,Día Libre
